page	text	source
11	"PRESENT m PAST PART
lend ‏يقرض - يسلف‎ | 1 lent
lie لـ | يرقد lain
lie ‏يكنب‎ | 0 lied
live ‏بيش‎ lived lived
1056 يفقد | 1 105
5 يعمل - يصنع | made made
mean بقصد | meant meant ‏ا‎
‎| meet يقابل | met |
melt يذوب  رهصي‎ | melted melted |
open ‏يفتع‎ opened opened
pay ‏يدقع‎ | paid paid ,
play يلعب | played played
prove يبرهن  تبثب‎ | proved proved
punish يعاقب | punished
put يضع | put put
wreath يصل reached reached
read يقرأ read read
ride يركب | Trode ridden
ring ‏يدق يرن | 8 rung
rise ‏يشرق‎  دعصي‎ | TOSE risen
run ‏يجرى‎ | Tan run
say يقول | 0 said
sell يبيع | s0ld sold |
با"	al-shamil-dictionary
12	"الآح
‎PRESENT m PAST PART‏ |
ض ‎L send Jumps | sent sent‏
‎shook shaken‏ | يهز ‎shake‏

shine يضيء | shone shone

shoot يصيد | shot shot

shut يقفل | shut shut
| show يظهر - يبين‎ | showed shown
١ sink يفرق للجماد)‎ | Sank sunk

' sing ik | sang sung
i sit يجلس | 1 58

smell يشم | smelt smelt

sleep ينام | slept slept

speak يتكلم | spoke spoken
| sow يبذر ينثر | 0 sown

spend ‏يقضى‎  قفني‎ | 1 spent
| spoil يتلف | spoilt spoilt

stay يمكث - يبقى | Stayed stayed
| stand ‏أ يقف 0 stood
f steal يسرق | stole stolen

strike يخبط يضرب | struck struck

stop يتوقف | stopped stopped

study يدرس - يتذكر | Studied studied

sweep يكنس | swept swept
| swim ‏ينوم‎ | swam swum
: take يأخذ | took taken
|"	al-shamil-dictionary
13	"الا اح
‎PRESENT m PAST PART‏

teach يعلم | taught taught

tear ‏يمزق‎ | tore torn |

tell ‏أ يخبر 0 told

thank ‏بشكر‎ ١| 0 thanked

think يفكر | thought thought

| throw ‏يرمى‎ | threw thrown

| travel يسافر travelled travelled ‏ا‎

‎tried‏ 0 | يحاول ‏ يجرب را

‎| visit يزور | visited visited

‎wake يوقظ | woke woke

‎wear يلبس | Wore worm

‎weep oS | wept wept

‎win ‏يربع - يكسب | 8 won

‎| work يشتغل | worked worked

‎write يكتب | wrote written"	al-shamil-dictionary
14	"5
A LIST OF CORRECT PREPOSITIONS

accused of ‏متهوب‎ | ignorant of جاهد |
afraid ‏اخاثف من interested in المهتم بـ |
agree with يتفق مع شخص)‎ | jealous of غيور من

ٍ فادر إلى ‎leave for‏ يوافق على شىء ‎agree to‏ إ
| يستمع إلى ‎listen to‏ غاضب مع شخص ‎angry with‏
مسرور من شخص ‎pleased with‏ | غاضب من شىء ‎angry at‏
| مسرور من شىء ‎pleased at‏ يوافق على ‎approve of‏
يفضل عن ‎preferto‏ | خجلانمن ‎ashamed of‏
فخور ‎proud of‏ | بشكومن ‎complain of‏
مسئول عن ‎responsible for‏ يكون من ‎consist of‏
غلى ب ‎rich in‏ يشفى من ‎cure of‏
يبحث عن ‎search for‏ | يموتدمن ‎die of‏
مامرفى ‎skilful at‏ | خال من ‎empty of‏
متأسف على ‎somyfor‏ | مشورب ‎famous for‏
ينجع فى ‎succeedin‏ | مغرم ‎fond of‏

ٍ full of مملوء بـ suitable for (to) مناسب لـ

مندهش من ‎surprised‏ أجيد فى ‎good at‏ |

| ill with مريض بـ | wram of against ‏يحثر من

|"	al-shamil-dictionary
15	"# ا
لاحظ أن الكلمات الآتية لا تاخذ حرف جر ‎(preposition)‏
كما هو الحال في اللفظة المربية ‎I‏
‏يضحى ب ‎sacrifice‏ 1-70
‎He sacrificed his life for his country.‏ =
يتمتم ب ‎enjoy‏ 2-70
‎We enjoy the fresh air.‏ =
يشر ب ‎Tofeel‏ 3 |
‎feel great pain in my tamm !‏ 1= |
يؤثرفى ‎4-Toaffect‏
‎Hot weather affects my health.‏ =
يحتوى على ‎To contain‏ - 5
‎=My bag contains many books f‏
‎١‏ يهجم على ‎To attack‏ - 6
‎soldier attacked his enemy.‏ 16 = |
يحصل على ‎obtain‏ 7-70
يعجب ب ‎To admire‏ - 8
بدافع عن ‎defend‏ 9-70"	al-shamil-dictionary
16	"Conversion Tables
TEMPERATURES
In the United States temperature is measured on the Fahrenheit scale
For the exact conversion to Celsius use the following formulas
Fahrenheit = Centigrade x 1.8 + 32)
Centigrade = Fahrenheit - 32/ 1.8)
0 104
35, 95,
30. 86'
25_ 77.
20 68
1 5 0 Fahrenheit
Celsius . 3
بن 5 .
5‘ 4 l.
0 . 32‘
-5 s 23'
- 10ٍ 4
- 15 50ٍ
- 20. -4
- 25 = 13
-30 -22
Normal Body Temperature = 86 For 7 8"	al-shamil-dictionary
17	"v )

WEIGHTS

Metric U.S Standard

1 gram 0.0353 ounces

28.350 grams 1 ounce (0z.)

225 grams 1/2 pound (1b.)

453.592 grams 1 pound (16 0z.)

1 kilogram 2.2 pounds

1100 1.1023 tons

5 grams or 5 c.c. 1 teaspoon tsp

15 grams or 15¢c.c 1 tablespoon tsp
COOKING MEASUREMENTS

‎Tbsp=15ml‏ 1 5 م1

‎1 cup =240 ml 1 pint = 480 ml

‎1 quart = 946 له (0.946 L) 1gallon=3.84 L
OVEN TEMPERATURES

‎Celsius Fahrenheit

‎93, 200,

‎107, 25,

‎149, 300,

‎177, 350,

‎191, 375,

‎205 400"	al-shamil-dictionary
18	"Clothing Sizes
WOMEN’S CLOTHING
Dresses Coats suits and Skirts junior
USA 9 11 14 2 5 17
England 1١ د١3‎ 15 1١7
Metric 36 38 40 42 44
Young Ladies’ Misses
USA& England 10 12 14 16 18
Metric 36 38 40 42 44
Ladies’
USA& England 36 38 44 42 ‏هه‎
‎Metric 44 46 48 50 52
Women's Shoes
‏هونا‎ 5 6 7 8 9
Metric 35 36 38 39 40
MEN'S CLOTHING
Costs overcoats
USA& England 36 3: 44 42 4
Metic 46 48 ‏؛‎ 52 54"	al-shamil-dictionary
19	"المراجع ‎REFERENCES‏
أهم المراجع الا إنجليزية

1 - WEBSTER’S NEW WORLD DICTIONARY OF The- ENGLISH
LANGUAGE NEW 011505 EDITION 1993.

2 - WEBSTER'S SEVENTH NEW Collegiate DICTIONARY
SPRINGFIELD MASSACHUSETTS U.S.A 1965

3 - THE OXFORD PAPERBACK DICTIONARY THIRD EDITION
1988.

4 - COLLINS NEW ENGLISH DICTIONARY LONDON 1964.

5 - LONGAN ACTIVE STUDY DICTIONARY OF ENGLISH

6 - DICTIONARY of RELIGIOUS TERMS By ABDULLAH ABU-
MESHY AL MALIK AND ABDUL- LATIF SHEIKH- IB-
RAHIM 1995.

أهم المراجع العربية

AN القاموس المصرى اليأس أنطوان اليأس القاهرة ١

قاموس الموارد منير البعلبكى بيروت ‎١1480‏

© . قاموس المعرفة لتوليد الحور بيروت ‎VAV‏

£ . معجم المصطلحات الدينية الدكتور ع عبدالله ابوعشى المالك الدكتور
عبداللطيف الشيغ إبراهيم الطبعة الأولى الرياض ‎١1448‏

8 معجم مصطلحات علم المكتبات المعلومات الدكتور عبدالله الشريف الطبعة
الثانية طرابلس ‎AT‏

١1464 القاموس الطوبى الجامعى ممدوح دوما الطبعة الأولى . القاهرة . Y"	al-shamil-dictionary
20		al-shamil-dictionary
21	"LS
8.2 الحرف الأول من حروف الهجاء | alienation (n.) نقل الملكية . مبيعة بجع‎
الإنجليزية أداة تتكير للاسم المبدوء‎ | abandon (vn) يهجر . يترك . يقلع عن
يتخلى عن . يستسلم ل - إقلاع بحرف ساكن
عن تخلى . انغماس فى الملذات أول درجة . طيب جدا لـ
A.A. (author's alteration التغيرات ___himself to . ينغمس فى
gl 200 يغرق فى
AAA authors taction U1 | abandoned adj متروك . مهجور . متحرر
الموجودة فى المزاد | abandonment (n) هجر . ترك . خلاعة
aardvark (n.) تتال خنزير الأرض
aardwolf (n.) الأرض | prayer ترك الصلاة
Aaron (n.) ‏هاررن‎ | abase (v.) ‏يحقر يذل يحط ب حُزى‎
AB. بكالوريوس فى الآداب  ملاح | abased adf S ‏محقر.ذليل.‎
تحقير . إذلال دناءة 0 (.208560:602)8 | محنك
aback adv . يخجل . يخزى . (ن) فونه | إلى الصوداء . إلى الخلف
betaken __, ‏اغت يفاجا.‎ o يضعف
‏يزخذ على حين غرة ١ abashed خجول مرتبك زهه)‎
abacus () ‏الممود . معد U | ‏عاافتوية‎ yagi  لياق قابل للإلقاء.‎
للإنقاص لتعليم الاطفال العد . ناج
2080000 )8(  ميحجلا ينقص . يقلل . يخمد )1( 200:8 | الجحيم . ملاك
abaft(adv) ‏ينه فى مزخرفة عند أو تحر
مؤخرة الركب abatement (n)  ليلقت ‏تتقيص إلغاء
abalienate ينقل الملكية من اسم لآخرل.»)‎ | abanoir ‏(ج)‎ e مجزر سلخانة.‎"	al-shamil-dictionary
22	"فحص البطن  ‎abbey (n.) ©a, % | abdominoscopy (n)‏
بالمنظار رئيس دير للرهبان ‎abbot (n.)‏
ضخم البطن ‎(adj.)‏ 80001005 | يوجز . يختصر . يختزل ‎abbreviate ٠١(‏
مكرش مرجز . مختصر . ‎abbreviated (adj.)‏
يفصل . يبعد عن . يفرز ‎abduce (v.)‏ | مختزل

مفصول ‏ مبعد ‎abducent (adj.)‏ | مدخل مختصر ‎—_entry‏
يخطف بخاصة امرأة | ‎abduct (v)‏ | اختزال الكسر ‎offractions‏ --
يغتصب . يختلس اختصارا ‎abbreviations (n.)‏
خطف اغتصاب - ‎abduction(n)‏ | أمس ‏ أصول - ‎ABC (n.)‏
اختلاس مبادئ علم آأر موضع الألفيات

الخاطفة ‎abductor(n) sl‏ | ممكن التنازل ‎<o‏ ( زفة ‎abdicable‏
‏ناثم فى الفراش ‎(adv.)‏ 8080 | يتنازل عن عرش - ‎abdicate (v.)‏
طريح الفراش تنحى عن منصب رفيع -

آبيل ‎Abel(n)‏ | يترك ‏ يهجر

ضلال انحراف عن 1 )( ‎aberrance‏ | تنازل عن عرش أو ‎abdication (n.)‏
الحق شذوذ ‎abemancy (n.)‏ | منعب ريع

ضال . منحرف عن ‎(adjn)‏ 8085871 | بطن . جوف ‎abdomen (n.)‏
الحق . شخص شاذ اللك بطنى . جوفى ‎abdominal (adj.)‏
ضلال . انحراف عن ‎abemation (n.)‏ | التسمع البنى - تسمع ‎auscultation‏ ——
الحق خلل عقلى الطبيب إلى الأصوات الثى

يحرض - يستفز ‎abet(v.)‏ | داخل البطن

تحريض - تفيد ‎abetment (n.)‏ | تجري البطن ‎cavity‏ __—
محرض مشجع على 1 ‎abettor (n)‏ | ولادة قيصرية ‎___delivery‏
عمل الشر معاون ‎abetter (n)‏ | ألم بالباطن ‎—pain‏
مطيل . إيقاف . انتظار ‎abeyance (n.)‏ | بذل البطن ‎abdominocentesis (n.)‏"	al-shamil-dictionary
23	"abeyant adj معطل - معلق | able adj ماهر - قدير  رداق‎
abhor (v.)  ةدشب ‏يغض - يمقت  هركي‎ ١ abloom (ad)) مزدهر - مزهر
abhored adj بغيض  هرركم‎ | abluent adj A
abhorrence (n.) مقت - بغض | ablution (n.) ماء  لسغ‎  ءوضر‎
abhorrent adj - الإغتسال مضاد  كاره - ماقت  ءوضولا‎
معاكس | invalidate ablution vy 1 ينقض
‎abidance (n.) i  ءاقب‎  رارمتسا‎ | todofull ablution  ءوضولا ‏يبغ‎
‎abide (v.) يقيم  رظتني‎  ثكمي‎  ىقي‎ | sand ablution ‏التيمم‎
يكن | ablutomania (n.) هرس الإغتسال
abiding adj ثابت - باق - دائم | ably adv بحذق . ببراعة . بمهارة بمقدرة
__Jaith إيمان ثابت | abnegate (v) يجحد ينكر . يتخلى عن
abigail (n) أمة جارية . خادمة . رصيفية | abnegation (n.) ترك جحود  إقلاع
ability , for , in (n.) عن نكران قدرة  مقدرة
abiotic adj منعدم الحياة | abnormal adi  ىعيبط غير  ذاش‎
abject adj خسيس . حقير دنئ مدقع | abnormality (n.) شذوذ - شىء غير
—_ poverty عادى فقر مدقع
abjectness (n.) دناءة  ةسخ‎ | abnormally adv بشذوذ
‎abjuration (n.) إرتداد  دوحج‎  راكنا‎ | aboard adv على من سفينة أر قطار
abjure (v.) أو طائرة قرب - بجانب يرلّد - يجحد
abjurer (n.) مرتد عن دينه  ناكر | abode past pastpart of
ablactate (v.) يفطم عن الرضاعة | abide
ablactation (n.) فطام الطفل | abode of abide (v. n.) _ أقام سكن
ablation (n.) نزل . مسكن - مقر استفحال  أزالة
ablaze ‏زفه)‎ . adv  جهرتم‎  بهتلم‎ | the Abode of Bliss i
مشتعلا | the eternal abode الدار البقية"	al-shamil-dictionary
24	"علانية ‎aboveboard adv adi  -‏ | يمحر يلفى ‎abolish (v.)‏
جهارا صريح ممكن إبطاله ‎abolishable (adj.)‏
حى يرزق ‎aboveground adv .adj)‏ | محر إبطال ‏ إلغاء  ‎abolishment (n.)‏
- فرق سطح الارض } ‎abolition (n.)‏
ييرى ‏ بكشط ‏ يتآكل | ‎abrade(v)‏ | المنفحة ‎abomasum (n.)‏
برى ‏ كشط ‎sbrasion(n)‏ | كريه ‏ مكره ‎abominable adj  -‏
كاشط - حكاك رهه ‎abrasive‏ | شنيع ‏ منكر - بغيض
يشفى من عقدة نفسية ‎abominate (v.)  تقمب  ضغب  هركي | abreact(v.)‏
إزالة العقدة النفسية  ‎(n)‏ 200880000 | منكر ‏ شناعة ‏ رجس ‎abomination (n.)‏
متماشي مع - ‎Cor‏ لجنب ‎abresst(adv)‏ | دعارة
يقصر - يحرم من يختصر ‎abridge (v.)‏ | خبالثك ‏ رجس ‎abominations (n.)‏
مختصر - موجز ‎abridged (adj.)‏ | يجهض . تجهض . بسقط يخفق ).1( 8011
طبعة مختصرة ‎edition‏ __ | قاتل للجنسين مُجمض ‎aborticide (adj.)‏
اختصار ‏ موجز ‎abridgment (n.)‏ | إسقاط ‏ إجهاس للجنسين ‎abortion (n.)‏
‎abridgement (n.) }‏ | طبيب أمراض ‎abortionist (n.) s‏

مفرح - على قدم ‎abroach adv adj.‏ | أمشخصص فى إجهاض الحرمل
وساق دواء مجهض - عقيم - ‎abortive (adj.)‏
فى الخارج - باتساع ‎abroad adv adj.‏ | نادر الخليفة

مخطئ يسود - يكثر ‎abound (v.)‏
يضخ ‏ يطل يلغى  ‎abrogate(v)‏ | عن بشان - ‎about prep adv.)‏
‎s‏ - فقدان ‎absence (n.)‏ | على وشك حوالى ‏ حزل
سهو - شرود ‏ الفكر  ‎__ofmind‏ | فرق - أعلى ‎above adjadv  - GT‏
غائب ‏ بعيد هه 205801 | متقدم ‏ سابق
مطلق ‏ حر كلى ‎absolute (adj.n)‏ | فرق كل شىء اله
‎g‏ استبداد - المطلق - الأساسي"	al-shamil-dictionary
25	"— location مكان ثابت ١ abstract adj n.v.) مستخلص

absolutely adv - Gulls - G تجريد . لاصف  ىروصت‎

تجريدية . يفصل . يجرد . يقتل ‎٠‏ على نحو قاطع - كلية

absolution (n.) &3 - 3 ke  نارفغ يختصر

مجلة مستخلص ‎___journal‏ - استقراء ‏ تحليل

absolutism (n.) الإستبدادية | abstracted (ad).) شارد الذهن  دراش‎

absolutory ‏ززفه)‎ s | abstraction (n.) - سهو - حذف

اختلاس ‏ تجريد يبرئ - يغفر ل - ‎absolve (v.)‏

الفن التجريد . )( ‎abstractionism‏ | يتسامح يحل

_tobe absolved from Ihram ‏يتجلل‎ | abstractive adi تلخيص - تجريد

‎abstractly (adv.)‏ | من الإحترام

على نحو نظرى - تجريد يمتص - ينهمك فى - يتشرب ‎(v.)‏ 809010

‎absorbent adj n.) . sl . e | abstracts(n.) الخلاصات

مغلق - مبهم - غامض (041) ‎abstruse‏ | شىء منص ل

‏اا لاي ل رف لعنسسة |

سخيف ‏ عبث - باطل  ‎absurd (adj)‏ | انهماك فى

‎absorptive adj ‏ممص - ماص - شارب | absurdity (n.) بطلان  ةفاخس‎

على تحر سخيف  ‎absurdly (adv)‏ | يمك ننم عن ‎from (v)‏ , متفافظة

‎abstainer (n.) المنع  كسلا | absurdness (n.) بطلان  فخس‎

كثرة - وفرة ‎of (n.)‏ , 200002068 | إربخاصة عن المسكرات

‎abstemious adj - زاهد  لدعم ١ abundant in (n.) كثير - وافر

بوفرة - بغزارة ‎abundantly (adv.)‏ | متقشف - متصوف

إساءة استعمال . سباب . ‎abuse (v.n)‏ | امتناع - إساك ‎abstention (n.)‏

إنتهاك - يسىء الاستعمال . يبذ يطهر - ‎absterge (v.) i‏
يهتك - يسىء إلى سمعة زهد - تقشف ‎abstinence (n.)‏"	al-shamil-dictionary
26	"التشكيل نبرة الصوت ‎accent(mv.)‏ | مهين ‏ فاضح - بذىء  ‎abusive (adj.)‏
- حركة ‏ لهجة - يلفظ حرف - يجأر - يتلاصق ‎abut (v.)‏
أو مقطع - يؤكد مجاورة - متلاصقة ‎abutment (n.)‏
التشكيل ‏ التنين (.8) ‎accentuation‏ | مجاور ‏ ملاصق - محاذ ‎abutting (adj.)‏
يقبل ‏ يرضى ب - يسلم ب ‎accept(v.)‏ | هوة - هاوية - لجة - جهنم 0 ‎abyss(m)‏
إمكانية القبول  ‎acceptability (n.)‏ | بلاد الحبشة ‎Abyssinia (n.)‏
أو الرضى حبشى ‏ أثيربى ‎Abyssinian adj (n)‏
مقبول - مرضى - ‎acceptableto (adi)‏ | شجرة النط - طلح ‎acacia (n.)‏
استحسن معهد - ندوة علمية ‎academe (n.)‏
قبول - رضى ‎acceptance (n.)‏ | جاممى - اكادبى - ‎academic adj n.)‏
‎acceptation (n.)‏ | نظرى شخص ‎AT‏

اقتراب - إزدياد - نمو - وصول ‎(M)‏ 200655 | رسالة جامعية الدكتوراة 4361180008 _-_
إمكانية المثال ‎accessibility (n.)‏ | سنة دراسية ‎__year‏
أو الوصول عضر فى مجمع  ‎academician (n.)‏
سهل المنال ‎accessible (ad.)‏ | العلماء ‏ عضو فى مجمع علمى

بلوغ - وصول - تكاثر - ‎accession (n)‏ | أوأبى أرفتى

ترتيب إضافات الكتب أكاديمية ‏ معهد ‎academy (n.)‏
قم التسجيل ‎department‏ | لتدريس علم معينا

acanth (n.)  تابن شركة أإسمكة آر | accession number رقم القيد
accede (v.) يوافق - يقبل  يتفلد منصب | accessive adj Sl  ديزم‎
accelerate (v.) - يزيد السرعة  يعجل‎ | accessory adj إضافى - ثاترى‎
يستعجل | accidence (n.) علم الصرف

حادثة - مصادفة - ‎accident (n.)‏ | إسراع ‏ تعجيل ‎acceleration (n.)‏
حادث مفاجئ دواسة البنزين ‏ العضلة - ‎accelerator (n.)‏
عرضى . إتفاق . طارئ ز24 ‎accidental‏ | المتعجلة للبول ‏ أو لقذف ‎AV‏"	al-shamil-dictionary
